From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q99459	Q99459	reviewed	CDC5L_HUMAN	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802
Q9BUQ8	Q9BUQ8	reviewed	DDX23_HUMAN	Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)	DDX23	Homo sapiens (Human)	820
Q9BWF3	Q9BWF3	reviewed	RBM4_HUMAN	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	RBM4 RBM4A	Homo sapiens (Human)	364
Q9BXP5	Q9BXP5	reviewed	SRRT_HUMAN	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2)	SRRT ARS2 ASR2	Homo sapiens (Human)	876
Q9BYW2	Q9BYW2	reviewed	SETD2_HUMAN	Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP)	SETD2 HIF1 HYPB KIAA1732 KMT3A SET2 HSPC069	Homo sapiens (Human)	2564
Q9C0J8	Q9C0J8	reviewed	WDR33_HUMAN	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	WDR33 WDC146	Homo sapiens (Human)	1336
Q9DBR1	Q9DBR1	reviewed	XRN2_MOUSE	5'-3' exoribonuclease 2 (EC 3.1.13.-) (Protein Dhm1)	Xrn2 Dhm1	Mus musculus (Mouse)	951
Q9H0S4	Q9H0S4	reviewed	DDX47_HUMAN	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	DDX47	Homo sapiens (Human)	455
Q9H814	Q9H814	reviewed	PHAX_HUMAN	Phosphorylated adapter RNA export protein (RNA U small nuclear RNA export adapter protein)	PHAX RNUXA	Homo sapiens (Human)	394
Q9HAV4	Q9HAV4	reviewed	XPO5_HUMAN	Exportin-5 (Exp5) (Ran-binding protein 21)	XPO5 KIAA1291 RANBP21	Homo sapiens (Human)	1204
Q9HCD5	Q9HCD5	reviewed	NCOA5_HUMAN	Nuclear receptor coactivator 5 (NCoA-5) (Coactivator independent of AF-2) (CIA)	NCOA5 KIAA1637	Homo sapiens (Human)	579
Q9NQ29	Q9NQ29	reviewed	LUC7L_HUMAN	Putative RNA-binding protein Luc7-like 1 (Putative SR protein LUC7B1) (SR+89)	LUC7L LUC7L1	Homo sapiens (Human)	371
Q9NR30	Q9NR30	reviewed	DDX21_HUMAN	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	DDX21	Homo sapiens (Human)	783
Q9NR56	Q9NR56	reviewed	MBNL1_HUMAN	Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein)	MBNL1 EXP KIAA0428 MBNL	Homo sapiens (Human)	388
Q9NTZ6	Q9NTZ6	reviewed	RBM12_HUMAN	RNA-binding protein 12 (RNA-binding motif protein 12) (SH3/WW domain anchor protein in the nucleus) (SWAN)	RBM12 KIAA0765 HRIHFB2091	Homo sapiens (Human)	932
Q9NU22	Q9NU22	reviewed	MDN1_HUMAN	Midasin (Dynein-related AAA-ATPase MDN1) (MIDAS-containing protein)	MDN1 KIAA0301	Homo sapiens (Human)	5596
Q9NVI1	Q9NVI1	reviewed	FANCI_HUMAN	Fanconi anemia group I protein (Protein FACI)	FANCI KIAA1794	Homo sapiens (Human)	1328
Q9NW64	Q9NW64	reviewed	RBM22_HUMAN	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	RBM22 ZC3H16 199G4	Homo sapiens (Human)	420
Q9NW82	Q9NW82	reviewed	WDR70_HUMAN	WD repeat-containing protein 70	WDR70	Homo sapiens (Human)	654
Q8CH25	Q8CH25	reviewed	SLTM_MOUSE	SAFB-like transcription modulator (Modulator of estrogen-induced transcription) (SAF-like transcription modulator)	Sltm Met	Mus musculus (Mouse)	1031
Q9P013	Q9P013	reviewed	CWC15_HUMAN	Spliceosome-associated protein CWC15 homolog	CWC15 C11orf5 AD-002 HSPC148	Homo sapiens (Human)	229
Q9P258	Q9P258	reviewed	RCC2_HUMAN	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	RCC2 KIAA1470 TD60	Homo sapiens (Human)	522
Q9P287	Q9P287	reviewed	BCCIP_HUMAN	BRCA2 and CDKN1A-interacting protein (P21- and CDK-associated protein 1) (Protein TOK-1)	BCCIP TOK1	Homo sapiens (Human)	314
Q9UBU9	Q9UBU9	reviewed	NXF1_HUMAN	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	NXF1 TAP	Homo sapiens (Human)	619
Q9UHI6	Q9UHI6	reviewed	DDX20_HUMAN	Probable ATP-dependent RNA helicase DDX20 (EC 3.6.1.15) (EC 3.6.4.13) (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3)	DDX20 DP103 GEMIN3	Homo sapiens (Human)	824
Q9N3S3	Q9N3S4	reviewed	PUF60_CAEEL	Poly(U)-binding-splicing factor rnp-6 (60 kDa poly(U)-binding-splicing factor rnp-6)	rnp-6 Y47G6A.20	Caenorhabditis elegans	749
Q9UJV9	Q9UJV9	reviewed	DDX41_HUMAN	Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41) (DEAD box protein abstrakt homolog)	DDX41 ABS	Homo sapiens (Human)	622
Q9UQ35	Q9UQ35	reviewed	SRRM2_HUMAN	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	SRRM2 KIAA0324 SRL300 SRM300 HSPC075	Homo sapiens (Human)	2752
Q9UQ80	Q9UQ80	reviewed	PA2G4_HUMAN	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	PA2G4 EBP1	Homo sapiens (Human)	394
Q9UQE7	Q9UQE7	reviewed	SMC3_HUMAN	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	SMC3 BAM BMH CSPG6 SMC3L1	Homo sapiens (Human)	1217
Q9Y2W2	Q9Y2W2	reviewed	WBP11_HUMAN	WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1)	WBP11 NPWBP SIPP1 SNP70	Homo sapiens (Human)	641
Q9Y314	Q9Y314	reviewed	NOSIP_HUMAN	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein)	NOSIP CGI-25	Homo sapiens (Human)	301
Q9Y3C6	Q9Y3C6	reviewed	PPIL1_HUMAN	Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1)	PPIL1 CYPL1 CGI-124 UNQ2425/PRO4984	Homo sapiens (Human)	166
Q9Y3I0	Q9Y3I0	reviewed	RTCB_HUMAN	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)	RTCB C22orf28 HSPC117	Homo sapiens (Human)	505
P52943	P52943	reviewed	CRIP2_HUMAN	Cysteine-rich protein 2 (CRP-2) (Protein ESP1)	CRIP2 CRP2	Homo sapiens (Human)	208
P14678	P14678	reviewed	RSMB_HUMAN	Small nuclear ribonucleoprotein-associated proteins B and B' (snRNP-B) (Sm protein B/B') (Sm-B/B') (SmB/B')	SNRPB COD SNRPB1	Homo sapiens (Human)	240
Q62241	Q62241	reviewed	RU1C_MOUSE	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	Snrpc Snrp1c	Mus musculus (Mouse)	159
Q62376	Q62376	reviewed	RU17_MOUSE	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	Snrnp70 Snrp70	Mus musculus (Mouse)	448
Q00916	Q00916	reviewed	RU17_YEAST	U1 small nuclear ribonucleoprotein 70 kDa homolog (U1 70K) (U1 snRNP 70 kDa homolog) (U1-70K) (U1 small nuclear ribonucleoprotein SNP1) (U1 snRNP protein SNP1)	SNP1 YIL061C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	300
Q9Y5B6	Q9Y5B6	reviewed	PAXB1_HUMAN	PAX3- and PAX7-binding protein 1 (GC-rich sequence DNA-binding factor 1)	PAXBP1 C21orf66 GCFC GCFC1	Homo sapiens (Human)	917
P27348	P27348	reviewed	1433T_HUMAN	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	Homo sapiens (Human)	245
Q9NWB6	Q9NWB6	reviewed	ARGL1_HUMAN	Arginine and glutamate-rich protein 1	ARGLU1	Homo sapiens (Human)	273
Q2TBE0	Q2TBE0	reviewed	C19L2_HUMAN	CWF19-like protein 2	CWF19L2	Homo sapiens (Human)	894
Q9NZ63	Q9NZ63	reviewed	TLS1_HUMAN	Splicing factor C9orf78 (Hepatocellular carcinoma-associated antigen 59)	C9orf78 HCA59	Homo sapiens (Human)	289
P19784	P19784	reviewed	CSK22_HUMAN	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2	Homo sapiens (Human)	350
P67870	P67870	reviewed	CSK2B_HUMAN	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)	CSNK2B CK2N G5A	Homo sapiens (Human)	215
Q9NVM6	Q9NVM6	reviewed	DJC17_HUMAN	DnaJ homolog subfamily C member 17	DNAJC17	Homo sapiens (Human)	304
P49916	P49916	reviewed	DNLI3_HUMAN	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	LIG3	Homo sapiens (Human)	1009
P15311	P15311	reviewed	EZRI_HUMAN	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2	Homo sapiens (Human)	586
P22087	P22087	reviewed	FBRL_HUMAN	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	Homo sapiens (Human)	321
P62942	P62942	reviewed	FKB1A_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	FKBP1A FKBP1 FKBP12	Homo sapiens (Human)	108
O43719	O43719	reviewed	HTSF1_HUMAN	HIV Tat-specific factor 1 (Tat-SF1)	HTATSF1	Homo sapiens (Human)	755
Q9Y2F5	Q9Y2F5	reviewed	ICE1_HUMAN	Little elongation complex subunit 1 (Interactor of little elongator complex ELL subunit 1)	ICE1 KIAA0947	Homo sapiens (Human)	2266
P40925	P40925	reviewed	MDHC_HUMAN	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (EC 1.1.1.96) (Cytosolic malate dehydrogenase)	MDH1 MDHA	Homo sapiens (Human)	334
Q9BWU0	Q9BWU0	reviewed	NADAP_HUMAN	Kanadaptin (Human lung cancer oncogene 3 protein) (HLC-3) (Kidney anion exchanger adapter protein) (Solute carrier family 4 anion exchanger member 1 adapter protein)	SLC4A1AP HLC3	Homo sapiens (Human)	796
P55769	P55769	reviewed	NH2L1_HUMAN	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	SNU13 NHP2L1	Homo sapiens (Human)	128
O95340	O95340	reviewed	PAPS2_HUMAN	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	PAPSS2 ATPSK2	Homo sapiens (Human)	614
Q8WW12	Q8WW12	reviewed	PCNP_HUMAN	PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein)	PCNP	Homo sapiens (Human)	178
O60508	O60508	reviewed	PRP17_HUMAN	Pre-mRNA-processing factor 17 (Cell division cycle 40 homolog) (EH-binding protein 3) (Ehb3) (PRP17 homolog) (hPRP17)	CDC40 EHB3 PRP17 PRPF17	Homo sapiens (Human)	579
P08579	P08579	reviewed	RU2B_HUMAN	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	SNRPB2	Homo sapiens (Human)	225
O75940	O75940	reviewed	SPF30_HUMAN	Survival of motor neuron-related-splicing factor 30 (30 kDa splicing factor SMNrp) (SMN-related protein) (Survival motor neuron domain-containing protein 1)	SMNDC1 SMNR SPF30	Homo sapiens (Human)	238
P49458	P49458	reviewed	SRP09_HUMAN	Signal recognition particle 9 kDa protein (SRP9)	SRP9	Homo sapiens (Human)	86
Q9UI30	Q9UI30	reviewed	TR112_HUMAN	Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog)	TRMT112 AD-001 HSPC152 HSPC170	Homo sapiens (Human)	125
Q9UPN9	Q9UPN9	reviewed	TRI33_HUMAN	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	TRIM33 KIAA1113 RFG7 TIF1G	Homo sapiens (Human)	1127
O00567	O00567	reviewed	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
O14737	O14737	reviewed	PDCD5_HUMAN	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	PDCD5 TFAR19	Homo sapiens (Human)	125
O15355	O15355	reviewed	PPM1G_HUMAN	Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)	PPM1G PPM1C	Homo sapiens (Human)	546
O75347	O75347	reviewed	TBCA_HUMAN	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	TBCA	Homo sapiens (Human)	108
O95373	O95373	reviewed	IPO7_HUMAN	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	IPO7 RANBP7	Homo sapiens (Human)	1038
O95926	O95926	reviewed	SYF2_HUMAN	Pre-mRNA-splicing factor SYF2 (CCNDBP1-interactor) (p29)	SYF2 CBPIN GCIPIP	Homo sapiens (Human)	243
P14174	P14174	reviewed	MIF_HUMAN	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	MIF GLIF MMIF	Homo sapiens (Human)	115
P16152	P16152	reviewed	CBR1_HUMAN	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)	CBR1 CBR CRN SDR21C1	Homo sapiens (Human)	277
P35249	P35249	reviewed	RFC4_HUMAN	Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)	RFC4	Homo sapiens (Human)	363
P40937	P40937	reviewed	RFC5_HUMAN	Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36)	RFC5	Homo sapiens (Human)	340
P57743	P57743	reviewed	LSM3_YEAST	U6 snRNA-associated Sm-like protein LSm3 (SmX4 protein)	LSM3 SMX4 USS2 YLR438C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	89
P62312	P62312	reviewed	LSM6_HUMAN	U6 snRNA-associated Sm-like protein LSm6	LSM6	Homo sapiens (Human)	80
Q02880	Q02880	reviewed	TOP2B_HUMAN	DNA topoisomerase 2-beta (EC 5.6.2.2) (DNA topoisomerase II, beta isozyme)	TOP2B	Homo sapiens (Human)	1626
Q13315	Q13315	reviewed	ATM_HUMAN	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)	3056
Q13356	Q13356	reviewed	PPIL2_HUMAN	RING-type E3 ubiquitin-protein ligase PPIL2 (EC 2.3.2.27) (CYC4) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60) (Cyp60) (hCyP-60) (Probable inactive peptidyl-prolyl cis-trans isomerase-like 2) (PPIase) (Rotamase PPIL2)	PPIL2	Homo sapiens (Human)	520
Q14978	Q14978	reviewed	NOLC1_HUMAN	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	NOLC1 KIAA0035 NS5ATP13	Homo sapiens (Human)	699
Q15427	Q15427	reviewed	SF3B4_HUMAN	Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)	SF3B4 SAP49	Homo sapiens (Human)	424
Q7RTV0	Q7RTV0	reviewed	PHF5A_HUMAN	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)	PHF5A	Homo sapiens (Human)	110
Q8WUA2	Q8WUA2	reviewed	PPIL4_HUMAN	Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4)	PPIL4	Homo sapiens (Human)	492
Q92733	Q92733	reviewed	PRCC_HUMAN	Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)	PRCC TPRC	Homo sapiens (Human)	491
Q96BP3	Q96BP3	reviewed	PPWD1_HUMAN	Peptidylprolyl isomerase domain and WD repeat-containing protein 1 (EC 5.2.1.8) (Spliceosome-associated cyclophilin)	PPWD1 KIAA0073	Homo sapiens (Human)	646
Q96GM8	Q96GM8	reviewed	TOE1_HUMAN	Target of EGR1 protein 1	TOE1	Homo sapiens (Human)	510
Q96NC0	Q96NC0	reviewed	ZMAT2_HUMAN	Zinc finger matrin-type protein 2	ZMAT2	Homo sapiens (Human)	199
Q96PZ0	Q96PZ0	reviewed	PUS7_HUMAN	Pseudouridylate synthase 7 homolog (EC 5.4.99.-)	PUS7 KIAA1897	Homo sapiens (Human)	661
Q96RS0	Q96RS0	reviewed	TGS1_HUMAN	Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT)	TGS1 HCA137 NCOA6IP PIMT	Homo sapiens (Human)	853
Q9BTE3	Q9BTE3	reviewed	MCMBP_HUMAN	Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein)	MCMBP C10orf119	Homo sapiens (Human)	642
Q9BWJ5	Q9BWJ5	reviewed	SF3B5_HUMAN	Splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit)	SF3B5 SF3B10	Homo sapiens (Human)	86
Q9HCG8	Q9HCG8	reviewed	CWC22_HUMAN	Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog) (fSAPb)	CWC22 KIAA1604 NCM	Homo sapiens (Human)	908
Q9NPE3	Q9NPE3	reviewed	NOP10_HUMAN	H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10)	NOP10 NOLA3	Homo sapiens (Human)	64
Q9NTJ3	Q9NTJ3	reviewed	SMC4_HUMAN	Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome-associated polypeptide C) (hCAP-C) (XCAP-C homolog)	SMC4 CAPC SMC4L1	Homo sapiens (Human)	1288
Q9UKK9	Q9UKK9	reviewed	NUDT5_HUMAN	ADP-sugar pyrophosphatase (EC 3.6.1.13) (8-oxo-dGDP phosphatase) (EC 3.6.1.58) (Nuclear ATP-synthesis protein NUDIX5) (EC 2.7.7.96) (Nucleoside diphosphate-linked moiety X motif 5) (Nudix motif 5) (hNUDT5) (YSA1H)	NUDT5 NUDIX5 HSPC115	Homo sapiens (Human)	219
Q9ULR0	Q9ULR0	reviewed	ISY1_HUMAN	Pre-mRNA-splicing factor ISY1 homolog	ISY1 KIAA1160	Homo sapiens (Human)	285
Q9UNP9	Q9UNP9	reviewed	PPIE_HUMAN	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E)	PPIE CYP33	Homo sapiens (Human)	301
P40070	P40070	reviewed	LSM4_YEAST	U6 snRNA-associated Sm-like protein LSm4 (Like-SM protein 4)	LSM4 SDB23 USS1 YER112W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	187
Q99NB9	Q99NB9	reviewed	SF3B1_MOUSE	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	Sf3b1 Sap155	Mus musculus (Mouse)	1304
O00566	O00566	reviewed	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	Homo sapiens (Human)	681
O43818	O43818	reviewed	U3IP2_HUMAN	U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)	RRP9 RNU3IP2 U355K	Homo sapiens (Human)	475
Q8R1B4	Q8R1B4	reviewed	EIF3C_MOUSE	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	Eif3c Eif3s8	Mus musculus (Mouse)	911
P15646	P15646	reviewed	FBRL_YEAST	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (U3 small nucleolar RNA-associated protein NOP1) (Nucleolar protein 1) (U3 snoRNA-associated protein NOP1)	NOP1 LOT3 YDL014W D2870	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327
P33750	P33750	reviewed	DCA13_YEAST	Protein SOF1 (U3 small nucleolar RNA-associated protein SOF1) (U3 snoRNA-associated protein SOF1)	SOF1 YLL011W L1339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	489
Q04217	Q04217	reviewed	DHR1_YEAST	Probable ATP-dependent RNA helicase DHR1 (EC 3.6.4.13) (DEAH box RNA helicase DHR1) (Extracellular mutant protein 16)	ECM16 DHR1 YMR128W YM9553.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1267
Q06506	Q06506	reviewed	RRP9_YEAST	Ribosomal RNA-processing protein 9	RRP9 YPR137W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	573
B1AHD1	B1AHD1	unreviewed	B1AHD1_HUMAN	Ribonucloprotein	SNU13	Homo sapiens (Human)	132
P20053	P20053	reviewed	PRP4_YEAST	U4/U6 small nuclear ribonucleoprotein PRP4 (Pre-mRNA-processing protein 4)	PRP4 RNA4 YPR178W P9705.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465
Q03338	Q03338	reviewed	PRP3_YEAST	U4/U6 small nuclear ribonucleoprotein PRP3 (Pre-mRNA-splicing factor 3)	PRP3 RNA3 YDR473C D8035.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469
Q6P2Q9	Q6P2Q9	reviewed	PRP8_HUMAN	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	PRPF8 PRPC8	Homo sapiens (Human)	2335
P33411	P33411	reviewed	PRP18_YEAST	Pre-mRNA-splicing factor 18	PRP18 YGR006W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251
P36048	P36048	reviewed	SN114_YEAST	Pre-mRNA-splicing factor SNU114 (114 kDa U5 small nuclear ribonucleoprotein component) (Growth inhibitory protein 10)	SNU114 GIN10 YKL173W YKL637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1008
O15116	O15116	reviewed	LSM1_HUMAN	U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm)	LSM1 CASM	Homo sapiens (Human)	133
O95777	O95777	reviewed	LSM8_HUMAN	U6 snRNA-associated Sm-like protein LSm8	LSM8	Homo sapiens (Human)	96
P53905	P53905	reviewed	LSM7_YEAST	U6 snRNA-associated Sm-like protein LSm7	LSM7 YNL147W N1202 N1780	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115
P38203	P38203	reviewed	LSM2_YEAST	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	LSM2 SMX5 SNP3 YBL026W YBL0425	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	95
P40089	P40089	reviewed	LSM5_YEAST	U6 snRNA-associated Sm-like protein LSm5	LSM5 YER146W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	93
